,timestamp,date,day number,weekends,activity number,activity count
0,1444068000,10/6/2015 0:00,6,1,1,0
1,1444071600,10/6/2015 1:00,6,1,1,0
2,1444075200,10/6/2015 2:00,6,1,1,0
3,1444078800,10/6/2015 3:00,6,1,1,0
4,1444082400,10/6/2015 4:00,6,1,1,0
5,1444086000,10/6/2015 5:00,6,1,1,0
6,1444089600,10/6/2015 6:00,6,1,1,0
7,1444093200,10/6/2015 7:00,6,1,1,0
8,1444096800,10/6/2015 8:00,6,1,1,0
9,1444100400,10/6/2015 9:00,6,1,1,0
10,1444104000,10/6/2015 10:00,6,1,1,0
11,1444107600,10/6/2015 11:00,6,1,1,0
12,1444111200,10/6/2015 12:00,6,1,1,0
13,1444114800,10/6/2015 13:00,6,1,1,0
14,1444118400,10/6/2015 14:00,6,1,1,0
15,1444122000,10/6/2015 15:00,6,1,1,0
16,1444125600,10/6/2015 16:00,6,1,1,0
17,1444129200,10/6/2015 17:00,6,1,1,0
18,1444132800,10/6/2015 18:00,6,1,1,0
19,1444136400,10/6/2015 19:00,6,1,1,0
20,1444140000,10/6/2015 20:00,6,1,1,0
21,1444143600,10/6/2015 21:00,6,1,1,25
22,1444147200,10/6/2015 22:00,6,1,1,0
23,1444150800,10/6/2015 23:00,6,1,1,0
24,1444068000,10/6/2015 0:00,6,1,0,0
25,1444071600,10/6/2015 1:00,6,1,0,0
26,1444075200,10/6/2015 2:00,6,1,0,0
27,1444078800,10/6/2015 3:00,6,1,0,0
28,1444082400,10/6/2015 4:00,6,1,0,0
29,1444086000,10/6/2015 5:00,6,1,0,19
30,1444089600,10/6/2015 6:00,6,1,0,3
31,1444093200,10/6/2015 7:00,6,1,0,0
32,1444096800,10/6/2015 8:00,6,1,0,0
33,1444100400,10/6/2015 9:00,6,1,0,0
34,1444104000,10/6/2015 10:00,6,1,0,0
35,1444107600,10/6/2015 11:00,6,1,0,0
36,1444111200,10/6/2015 12:00,6,1,0,0
37,1444114800,10/6/2015 13:00,6,1,0,0
38,1444118400,10/6/2015 14:00,6,1,0,0
39,1444122000,10/6/2015 15:00,6,1,0,0
40,1444125600,10/6/2015 16:00,6,1,0,0
41,1444129200,10/6/2015 17:00,6,1,0,0
42,1444132800,10/6/2015 18:00,6,1,0,0
43,1444136400,10/6/2015 19:00,6,1,0,0
44,1444140000,10/6/2015 20:00,6,1,0,0
45,1444143600,10/6/2015 21:00,6,1,0,19
46,1444147200,10/6/2015 22:00,6,1,0,0
47,1444150800,10/6/2015 23:00,6,1,0,18
48,1444068000,10/6/2015 0:00,6,1,2,0
49,1444071600,10/6/2015 1:00,6,1,2,0
50,1444075200,10/6/2015 2:00,6,1,2,0
51,1444078800,10/6/2015 3:00,6,1,2,54
52,1444082400,10/6/2015 4:00,6,1,2,60
53,1444086000,10/6/2015 5:00,6,1,2,41
54,1444089600,10/6/2015 6:00,6,1,2,0
55,1444093200,10/6/2015 7:00,6,1,2,54
56,1444096800,10/6/2015 8:00,6,1,2,60
57,1444100400,10/6/2015 9:00,6,1,2,60
58,1444104000,10/6/2015 10:00,6,1,2,60
59,1444107600,10/6/2015 11:00,6,1,2,60
60,1444111200,10/6/2015 12:00,6,1,2,27
61,1444114800,10/6/2015 13:00,6,1,2,0
62,1444118400,10/6/2015 14:00,6,1,2,0
63,1444122000,10/6/2015 15:00,6,1,2,0
64,1444125600,10/6/2015 16:00,6,1,2,0
65,1444129200,10/6/2015 17:00,6,1,2,0
66,1444132800,10/6/2015 18:00,6,1,2,0
67,1444136400,10/6/2015 19:00,6,1,2,0
68,1444140000,10/6/2015 20:00,6,1,2,1
69,1444143600,10/6/2015 21:00,6,1,2,5
70,1444147200,10/6/2015 22:00,6,1,2,60
71,1444150800,10/6/2015 23:00,6,1,2,40
72,1444068000,10/6/2015 0:00,6,1,3,0
