,timestamp,date,day,day type,activity name,segment,activity count
0,1444068000,2015-10-06,2,1,1,0,25
1,1444068000,2015-10-06,2,1,1,1,0
2,1444068000,2015-10-06,2,1,1,2,0
3,1444068000,2015-10-06,2,1,1,3,25
4,1444068000,2015-10-06,2,1,0,0,37
5,1444068000,2015-10-06,2,1,0,1,0
6,1444068000,2015-10-06,2,1,0,2,0
7,1444068000,2015-10-06,2,1,0,3,37
8,1444068000,2015-10-06,2,1,2,0,106
9,1444068000,2015-10-06,2,1,2,1,0
10,1444068000,2015-10-06,2,1,2,2,0
11,1444068000,2015-10-06,2,1,2,3,106
12,1444068000,2015-10-06,2,1,3,0,0
13,1444068000,2015-10-06,2,1,3,1,0
14,1444068000,2015-10-06,2,1,3,2,0
15,1444068000,2015-10-06,2,1,3,3,0
16,1444154400,2015-10-07,3,1,1,0,0
17,1444154400,2015-10-07,3,1,1,1,0
18,1444154400,2015-10-07,3,1,1,2,0
19,1444154400,2015-10-07,3,1,1,3,0
20,1444154400,2015-10-07,3,1,0,0,2
21,1444154400,2015-10-07,3,1,0,1,0
22,1444154400,2015-10-07,3,1,0,2,0
23,1444154400,2015-10-07,3,1,0,3,2
24,1444154400,2015-10-07,3,1,2,0,0
25,1444154400,2015-10-07,3,1,2,1,0
26,1444154400,2015-10-07,3,1,2,2,0
27,1444154400,2015-10-07,3,1,2,3,0
28,1444154400,2015-10-07,3,1,3,0,0
29,1444154400,2015-10-07,3,1,3,1,0
30,1444154400,2015-10-07,3,1,3,2,0
31,1444154400,2015-10-07,3,1,3,3,0
32,1444240800,2015-10-08,4,1,1,0,0
33,1444240800,2015-10-08,4,1,1,1,0
34,1444240800,2015-10-08,4,1,1,2,0
35,1444240800,2015-10-08,4,1,1,3,0
36,1444240800,2015-10-08,4,1,0,0,1
37,1444240800,2015-10-08,4,1,0,1,0
38,1444240800,2015-10-08,4,1,0,2,0
39,1444240800,2015-10-08,4,1,0,3,1
40,1444240800,2015-10-08,4,1,2,0,2
41,1444240800,2015-10-08,4,1,2,1,0
42,1444240800,2015-10-08,4,1,2,2,0
43,1444240800,2015-10-08,4,1,2,3,2
44,1444240800,2015-10-08,4,1,3,0,0
45,1444240800,2015-10-08,4,1,3,1,0
46,1444240800,2015-10-08,4,1,3,2,0
47,1444240800,2015-10-08,4,1,3,3,0
48,1444327200,2015-10-09,5,1,1,0,0
49,1444327200,2015-10-09,5,1,1,1,0
50,1444327200,2015-10-09,5,1,1,2,0
51,1444327200,2015-10-09,5,1,1,3,0
52,1444327200,2015-10-09,5,1,0,0,15
53,1444327200,2015-10-09,5,1,0,1,0
54,1444327200,2015-10-09,5,1,0,2,0
55,1444327200,2015-10-09,5,1,0,3,15
56,1444327200,2015-10-09,5,1,2,0,181
57,1444327200,2015-10-09,5,1,2,1,0
58,1444327200,2015-10-09,5,1,2,2,0
59,1444327200,2015-10-09,5,1,2,3,181
60,1444327200,2015-10-09,5,1,3,0,0
61,1444327200,2015-10-09,5,1,3,1,0
62,1444327200,2015-10-09,5,1,3,2,0
63,1444327200,2015-10-09,5,1,3,3,0
64,1444413600,2015-10-10,6,1,1,0,0
65,1444413600,2015-10-10,6,1,1,1,0
66,1444413600,2015-10-10,6,1,1,2,0
67,1444413600,2015-10-10,6,1,1,3,0
68,1444413600,2015-10-10,6,1,0,0,0
69,1444413600,2015-10-10,6,1,0,1,0
70,1444413600,2015-10-10,6,1,0,2,0
71,1444413600,2015-10-10,6,1,0,3,0
72,1444413600,2015-10-10,6,1,2,0,0
73,1444413600,2015-10-10,6,1,2,1,0
74,1444413600,2015-10-10,6,1,2,2,0
75,1444413600,2015-10-10,6,1,2,3,0
76,1444413600,2015-10-10,6,1,3,0,0
77,1444413600,2015-10-10,6,1,3,1,0
78,1444413600,2015-10-10,6,1,3,2,0
79,1444413600,2015-10-10,6,1,3,3,0
80,1444672800,2015-10-13,2,1,1,0,0
81,1444672800,2015-10-13,2,1,1,1,0
82,1444672800,2015-10-13,2,1,1,2,0
83,1444672800,2015-10-13,2,1,1,3,0
84,1444672800,2015-10-13,2,1,0,0,0
85,1444672800,2015-10-13,2,1,0,1,0
86,1444672800,2015-10-13,2,1,0,2,0
87,1444672800,2015-10-13,2,1,0,3,0
88,1444672800,2015-10-13,2,1,2,0,0
89,1444672800,2015-10-13,2,1,2,1,0
90,1444672800,2015-10-13,2,1,2,2,0
91,1444672800,2015-10-13,2,1,2,3,0
92,1444672800,2015-10-13,2,1,3,0,0
93,1444672800,2015-10-13,2,1,3,1,0
94,1444672800,2015-10-13,2,1,3,2,0
95,1444672800,2015-10-13,2,1,3,3,0
